sample_size;distance_metric;use_S;mean_ae_sil;std_ae_sil;mean_ae_ch;std_ae_ch;mean_ae_db;std_ae_db;mean_cae_sil;std_cae_sil;mean_cae_ch;std_cae_ch;mean_cae_db;std_cae_db;mean_vae_sil;std_vae_sil;mean_vae_ch;std_vae_ch;mean_vae_db;std_vae_db;mean_cvae_sil;std_cvae_sil;mean_cvae_ch;std_cvae_ch;mean_cvae_db;std_cvae_db
15;cosine;False;-0.28878993;0.107163385;1.5815946;1.5863752;3.113174359901254;1.5347080116199485;-0.3031093;0.08854927;1.2508;0.8225068;3.3529510524280184;2.2581821756655804;-0.31847847;0.091366895;1.3343933;0.77326226;3.0331130729756905;1.3364465266605658;-0.36255017;0.12438937;1.2179743;0.95107085;3.6548552549057343;2.3944063212555604
15;cosine;True;-0.271966;0.08857193;1.3857552;0.8083169;3.396539020816233;3.841736850026106;-0.27829522;0.06864202;1.545581;0.9794811;2.6836859029650753;1.4254425086454117;-0.28168365;0.1035065;1.2591;0.83279556;2.9783436937769547;1.2534734369023912;-0.2844745;0.08231274;1.3517451;0.8209952;3.0901713916005367;2.7045045736863855
15;euclidean;False;-0.29115227;0.080472454;1.4470363;0.8283034;3.3098054083607336;2.2755953999554044;-0.30100954;0.08942058;1.3351791;0.87087715;3.024161035632313;1.8204671582140588;-0.3035002;0.10864794;1.3554951;0.74214375;2.822473190221077;1.5037833827096374;-0.32117587;0.10066898;1.6515638;1.4824593;2.7353264934445454;1.3377414059586303
15;euclidean;True;-0.29220092;0.07298141;1.2872174;0.6718886;3.5413452224902007;2.3355149625051332;-0.2726187;0.0786748;1.2129971;0.65081364;3.908306522455438;3.5144983413945408;-0.27643475;0.0942429;1.3350127;0.7484841;3.024588871512766;1.8829409951347953;-0.2554178;0.09072274;1.6139915;0.89323723;3.1078852352016884;1.887381624396213
15;manhattan;False;-0.30601025;0.08727803;1.4242821;1.3541203;2.8896402457339945;1.3883274079348327;-0.3139902;0.08764094;1.2121501;1.390641;3.0395651679493367;1.2820039781000692;-0.31286234;0.108160295;1.6467783;1.4893464;3.3683764501874887;1.9985426225842202;-0.30165824;0.09717476;1.5262691;0.98167515;3.120937483993986;2.1603513328947903
15;manhattan;True;-0.29667073;0.095689766;1.364473;1.7530179;3.627526414901545;2.4607877967334204;-0.25515282;0.07246769;1.4044198;1.0352008;3.766246307603665;3.9600893544957603;-0.30169725;0.109175816;1.2375842;0.9303158;3.615527435207824;2.1101660173898042;-0.25493217;0.10933121;2.0203402;2.3698907;3.123552204167161;1.9097322872836942
25;cosine;False;-0.20743398;0.091985315;4.157539;2.222908;3.5311636355907248;2.258897125336216;-0.19988388;0.095822476;4.024786;2.8813396;5.396641794394291;8.169771037670454;-0.22637382;0.11369626;4.6020017;3.7708127;3.4478540017687473;1.8127321958415825;-0.19020568;0.12012786;5.085706;3.942335;3.5059712331919797;1.5441444656496661
25;cosine;True;-0.22654547;0.0976788;3.2725806;2.1520665;4.961799946950919;3.8673870305669453;-0.16653302;0.115951665;5.071914;8.084536;3.764373158354164;3.442881645898145;-0.14898238;0.13742378;36.670025;98.58752;2.812058656587925;1.4557894742451114;-0.11682763;0.15733233;15.518802;21.245928;3.628378022996528;2.505604480499343
25;euclidean;False;-0.16264458;0.100408114;4.154932;3.165743;3.3159465629374325;2.000882222687885;-0.17942558;0.09923124;4.4965224;2.9821782;3.17654207867823;1.8808053486167047;-0.17473552;0.09815662;4.9019403;2.8297844;3.4392362424663636;2.4586202848461673;-0.1841283;0.084493734;5.4434714;4.738828;3.738603443872063;1.8540829175878566
25;euclidean;True;-0.18939327;0.09091443;3.5752475;2.0178204;3.322923198604649;1.0569393397597373;-0.2180807;0.11311005;4.010454;4.4531064;3.9033927355450158;2.2299932533219873;-0.14195903;0.11333194;16.460524;16.354631;2.656014992102224;1.408681450557417;-0.16050866;0.14858302;14.737037;19.692415;10.144926069401789;31.441433382045876
25;manhattan;False;-0.19775265;0.088583626;3.2541285;2.0072837;4.1328994534879415;2.7765771266208223;-0.21426564;0.087227695;3.2049499;1.3964236;4.693983228648647;4.042128256310589;-0.19737275;0.12931527;6.288463;7.5648694;3.870610128473182;2.773394207098561;-0.17063507;0.124157734;5.7310715;4.015926;4.638760111132256;3.6887194410374744
25;manhattan;True;-0.1797068;0.102486104;3.4444597;2.247674;3.4562505704402087;1.7756389516530624;-0.21485147;0.087696984;2.9216273;1.6681485;4.779336450351794;4.099187530567004;-0.14431554;0.14368641;17.378958;22.917381;3.0253323969923693;1.9349318316573303;-0.14523415;0.11263943;14.030136;11.377596;3.709772629667202;2.682618633442013
50;cosine;False;0.22523068;0.1004698;39.819317;35.096516;2.359121378497429;1.384863613134079;0.2452869;0.08937708;39.54284;23.613901;1.7112480291046703;0.738675773130162;0.40230873;0.09872003;172.19699;134.87914;1.2158889848868728;0.580440304102328;0.3678965;0.0811003;146.35138;106.80237;1.0881508477746185;0.44339190863328065
